Class,isDecompilable,distanceToOriginal,nbNodesOriginal,isRecompilable,bytecodeDistance,passTests,nbAttempt
org/bukkit/event/entity/EntityPortalEnterEvent,true,21,133,true,0,NA,1
org/bukkit/event/entity/PotionSplashEvent,true,52,563,true,0,NA,1
org/bukkit/event/entity/ExplosionPrimeEvent,true,36,398,true,0,NA,1
org/bukkit/event/entity/EntityCombustEvent,true,27,257,true,0,NA,1
org/bukkit/event/entity/ExpBottleEvent,true,26,256,true,0,NA,1
org/bukkit/event/entity/EntityDamageByEntityEvent,true,11,293,true,0,NA,1
org/bukkit/event/entity/EntityExplodeEvent,true,38,383,true,0,NA,1
org/bukkit/event/entity/SlimeSplitEvent,true,37,259,true,0,NA,1
org/bukkit/event/entity/EntityPortalEvent,true,36,247,true,0,NA,1
org/bukkit/event/entity/SheepDyeWoolEvent,true,36,276,true,0,NA,1
org/bukkit/event/entity/EntityCombustByEntityEvent,true,7,86,true,0,NA,1
org/bukkit/event/entity/EntityChangeBlockEvent,true,47,409,true,0,NA,1
org/bukkit/event/entity/PigZapEvent,true,44,274,true,0,NA,1
org/bukkit/event/entity/EntityDamageByBlockEvent,true,11,293,true,0,NA,1
org/bukkit/event/entity/FoodLevelChangeEvent,true,35,317,true,0,NA,1
org/bukkit/event/entity/ItemSpawnEvent,true,36,220,true,0,NA,1
org/bukkit/event/entity/EntityDamageEvent,true,405,3126,true,60,true,1
org/bukkit/event/enchantment/PrepareItemEnchantEvent,true,52,462,true,0,NA,1
org/bukkit/event/enchantment/EnchantItemEvent,true,57,595,true,0,NA,1
org/bukkit/event/block/BlockFadeEvent,true,29,221,true,0,NA,1
org/bukkit/event/block/BlockExpEvent,true,22,162,true,0,true,1
org/bukkit/event/block/NotePlayEvent,true,50,346,true,0,NA,1
org/bukkit/event/block/BlockFormEvent,true,14,91,true,0,NA,1
org/bukkit/event/block/BlockPhysicsEvent,true,36,253,true,0,NA,1
org/bukkit/event/block/SignChangeEvent,true,50,371,true,0,NA,1
org/bukkit/event/block/BlockGrowEvent,true,36,193,true,0,NA,1
org/bukkit/event/block/BlockPlaceEvent,true,62,493,true,0,NA,1
org/bukkit/event/block/Action,true,31,82,true,26,NA,1
org/bukkit/event/block/BlockFromToEvent,true,48,424,true,0,NA,1
org/bukkit/event/block/LeavesDecayEvent,true,26,146,true,0,NA,1
org/bukkit/event/block/BlockEvent,true,9,68,true,0,true,1
org/bukkit/event/block/BlockBreakEvent,true,13,145,true,0,true,1
org/bukkit/event/block/BlockDamageEvent,true,42,365,true,0,NA,1
org/bukkit/event/block/EntityBlockFormEvent,true,8,86,true,0,NA,1
org/bukkit/event/block/BlockRedstoneEvent,true,23,225,true,0,NA,1
org/bukkit/event/block/BlockIgniteEvent,true,103,734,true,0,NA,1
org/bukkit/event/block/BlockPistonEvent,true,17,174,true,0,NA,1
org/bukkit/event/block/BlockSpreadEvent,true,22,142,true,0,NA,1
org/bukkit/event/block/BlockMultiPlaceEvent,true,3,198,true,0,NA,2
org/bukkit/event/block/BlockCanBuildEvent,true,35,283,true,0,NA,1
org/bukkit/event/block/BlockPistonExtendEvent,true,29,382,true,0,NA,1
org/bukkit/event/block/BlockPistonRetractEvent,true,21,135,true,0,NA,1
org/bukkit/event/block/BlockBurnEvent,true,18,167,true,0,NA,1
org/bukkit/event/block/BlockDispenseEvent,true,55,334,true,0,NA,1
org/bukkit/event/HandlerList,true,191,1950,true,162,true,1
org/bukkit/event/EventException,true,16,219,true,0,NA,1
org/bukkit/event/player/PlayerShearEntityEvent,true,29,221,true,0,NA,1
org/bukkit/event/player/PlayerChangedWorldEvent,true,21,133,true,0,NA,1
org/bukkit/event/player/PlayerBucketEvent,true,47,338,true,0,NA,1
org/bukkit/event/player/AsyncPlayerPreLoginEvent,true,76,1083,true,0,NA,1
org/bukkit/event/player/PlayerCommandPreprocessEvent,true,74,687,true,0,NA,1
org/bukkit/event/player/PlayerToggleFlightEvent,true,31,202,true,0,NA,1
org/bukkit/event/player/PlayerDropItemEvent,true,35,200,true,0,NA,1
org/bukkit/event/player/PlayerBedEnterEvent,true,35,200,true,0,NA,1
org/bukkit/event/player/AsyncPlayerChatEvent,true,55,464,true,0,NA,1
org/bukkit/event/player/PlayerPickupItemEvent,true,39,256,true,0,NA,1
org/bukkit/event/player/PlayerExpChangeEvent,true,26,169,true,0,NA,1
org/bukkit/event/player/PlayerKickEvent,true,35,347,true,0,NA,1
org/bukkit/event/player/PlayerInteractEntityEvent,true,32,200,true,0,NA,1
org/bukkit/event/player/PlayerUnregisterChannelEvent,true,1,32,true,0,NA,1
org/bukkit/event/player/PlayerFishEvent,true,90,565,true,0,NA,1
org/bukkit/event/player/PlayerTeleportEvent,true,67,363,true,0,NA,1
org/bukkit/event/player/PlayerToggleSneakEvent,true,31,202,true,0,NA,1
org/bukkit/event/player/PlayerPreLoginEvent,true,65,762,true,0,NA,1
org/bukkit/event/player/PlayerUnleashEntityEvent,true,24,148,true,0,NA,1
org/bukkit/event/player/PlayerLevelChangeEvent,true,21,191,true,0,NA,1
org/bukkit/event/player/PlayerItemBreakEvent,true,21,133,true,0,NA,1
org/bukkit/event/player/PlayerBucketFillEvent,true,17,115,true,0,NA,1
org/bukkit/event/player/PlayerItemHeldEvent,true,35,258,true,0,NA,1
org/bukkit/event/player/PlayerLoginEvent,true,89,882,true,0,NA,1
org/bukkit/event/player/PlayerRespawnEvent,true,18,274,true,0,NA,1
org/bukkit/event/player/PlayerQuitEvent,true,19,169,true,0,NA,1
org/bukkit/event/player/PlayerInteractEvent,true,118,926,true,10,true,1
org/bukkit/event/player/PlayerBedLeaveEvent,true,21,133,true,0,NA,1
org/bukkit/event/player/PlayerPortalEvent,true,53,345,true,0,NA,1
org/bukkit/event/player/PlayerStatisticIncrementEvent,true,90,718,true,0,NA,1
org/bukkit/event/player/PlayerEggThrowEvent,true,56,605,true,0,NA,1
org/bukkit/event/player/PlayerChatTabCompleteEvent,true,26,409,true,0,true,1
org/bukkit/event/player/PlayerGameModeChangeEvent,true,29,197,true,0,NA,1
org/bukkit/event/player/PlayerMoveEvent,true,50,318,true,0,true,1
org/bukkit/event/player/PlayerBucketEmptyEvent,true,17,115,true,0,NA,1
org/bukkit/event/player/PlayerEditBookEvent,true,56,662,true,0,NA,1
