,Class,isDecompilable,distanceToOriginal,nbNodesOriginal,isRecompilable,bytecodeDistance,passTests,Compilo,Match
9438,Bukkit/eclipse/org/bukkit/event/enchantment/EnchantItemEvent,True,50.0,595.0,True,6.0,,JADX-0.9.0,63.0
9439,Bukkit/eclipse/org/bukkit/event/block/BlockFadeEvent,True,22.0,221.0,True,6.0,,JADX-0.9.0,166.0
9440,Bukkit/eclipse/org/bukkit/event/block/BlockExpEvent,True,3.0,162.0,True,0.0,True,JADX-0.9.0,179.0
9441,Bukkit/eclipse/org/bukkit/event/block/NotePlayEvent,True,20.0,346.0,True,0.0,,JADX-0.9.0,175.0
9442,Bukkit/eclipse/org/bukkit/event/block/BlockFormEvent,True,3.0,91.0,True,0.0,,JADX-0.9.0,174.0
9443,Bukkit/eclipse/org/bukkit/event/block/BlockPhysicsEvent,True,22.0,253.0,True,0.0,,JADX-0.9.0,167.0
9444,Bukkit/eclipse/org/bukkit/event/block/SignChangeEvent,True,29.0,371.0,True,0.0,,JADX-0.9.0,186.0
9445,Bukkit/eclipse/org/bukkit/event/block/BlockGrowEvent,True,9.0,193.0,True,0.0,,JADX-0.9.0,178.0
9446,Bukkit/eclipse/org/bukkit/event/block/BlockPlaceEvent,True,36.0,493.0,True,6.0,,JADX-0.9.0,173.0
9447,Bukkit/eclipse/org/bukkit/event/block/Action,True,0.0,82.0,True,0.0,,JADX-0.9.0,177.0
9448,Bukkit/eclipse/org/bukkit/event/block/BlockFromToEvent,True,36.0,424.0,True,0.0,,JADX-0.9.0,182.0
9449,Bukkit/eclipse/org/bukkit/event/block/LeavesDecayEvent,True,14.0,146.0,True,0.0,,JADX-0.9.0,180.0
9450,Bukkit/eclipse/org/bukkit/event/block/BlockEvent,True,7.0,68.0,True,0.0,True,JADX-0.9.0,185.0
9451,Bukkit/eclipse/org/bukkit/event/block/BlockBreakEvent,True,9.0,145.0,True,0.0,True,JADX-0.9.0,168.0
9452,Bukkit/eclipse/org/bukkit/event/block/BlockDamageEvent,True,34.0,365.0,True,6.0,,JADX-0.9.0,188.0
