Class,CFR-0.141,Dava-3.3.0,Fernflower,JADX-0.9.0,JD-Core-1.0.0,JD-GUI-1.4.1,Jode-1.1.2-pre1,Krakatau,Procyon-0.5.34
Bukkit/eclipse/org/bukkit/configuration/serialization/ConfigurationSerializable,True,True,True,True,True,True,True,True,True
Bukkit/eclipse/org/bukkit/configuration/serialization/ConfigurationSerialization,False,False,True,False,False,False,False,True,False
Bukkit/eclipse/org/bukkit/configuration/serialization/DelegateDeserialization,True,False,True,True,True,True,True,True,True
Bukkit/eclipse/org/bukkit/configuration/serialization/SerializableAs,True,False,True,True,True,True,False,False,True
Bukkit/eclipse/org/bukkit/conversations/BooleanPrompt,True,True,True,True,True,True,True,True,True
Bukkit/eclipse/org/bukkit/conversations/Conversable,True,True,True,True,True,True,True,True,True
Bukkit/eclipse/org/bukkit/conversations/Conversation,True,False,False,False,True,False,False,False,True
Bukkit/eclipse/org/bukkit/conversations/ConversationAbandonedEvent,True,True,True,True,True,True,True,True,True
Bukkit/eclipse/org/bukkit/conversations/ConversationAbandonedListener,True,True,True,True,True,True,True,True,True
Bukkit/eclipse/org/bukkit/conversations/ConversationCanceller,True,True,True,True,True,True,True,True,True
Bukkit/eclipse/org/bukkit/conversations/ConversationContext,True,True,True,True,True,True,True,True,True
Bukkit/eclipse/org/bukkit/conversations/ConversationFactory,True,False,False,False,False,False,True,False,False
Bukkit/eclipse/org/bukkit/conversations/ConversationPrefix,True,True,True,True,True,True,True,True,True
Bukkit/eclipse/org/bukkit/conversations/ExactMatchConversationCanceller,True,False,True,True,True,True,False,False,True
Bukkit/eclipse/org/bukkit/conversations/FixedSetPrompt,True,False,True,True,True,True,False,True,True
Bukkit/eclipse/org/bukkit/conversations/InactivityConversationCanceller,True,False,False,False,False,False,False,False,True
Bukkit/eclipse/org/bukkit/conversations/ManuallyAbandonedConversationCanceller,True,False,True,True,True,True,False,False,True
Bukkit/eclipse/org/bukkit/conversations/MessagePrompt,True,True,True,False,True,True,True,True,True
Bukkit/eclipse/org/bukkit/conversations/NullConversationPrefix,True,True,True,True,True,True,True,True,True
Bukkit/eclipse/org/bukkit/conversations/NumericPrompt,True,True,True,True,True,True,True,True,True
Bukkit/eclipse/org/bukkit/conversations/PlayerNamePrompt,True,True,True,True,True,True,True,True,True
Bukkit/eclipse/org/bukkit/conversations/PluginNameConversationPrefix,True,True,True,True,True,True,True,True,True
Bukkit/eclipse/org/bukkit/conversations/Prompt,True,False,True,True,True,True,True,False,True
Bukkit/eclipse/org/bukkit/conversations/RegexPrompt,True,True,True,True,True,True,True,True,True
Bukkit/eclipse/org/bukkit/conversations/StringPrompt,True,True,True,True,True,True,True,True,True
Bukkit/eclipse/org/bukkit/conversations/ValidatingPrompt,True,True,True,False,True,True,True,True,True
Bukkit/eclipse/org/bukkit/enchantments/Enchantment,True,True,True,True,True,False,True,True,True
Bukkit/eclipse/org/bukkit/enchantments/EnchantmentTarget,True,False,False,False,False,False,False,False,False
Bukkit/eclipse/org/bukkit/enchantments/EnchantmentWrapper,True,True,True,True,True,True,True,True,True
Bukkit/eclipse/org/bukkit/entity/Ageable,True,True,True,True,True,True,True,True,True
Bukkit/eclipse/org/bukkit/entity/Ambient,True,True,True,True,True,True,True,True,True
Bukkit/eclipse/org/bukkit/entity/AnimalTamer,True,True,True,True,True,True,True,True,True
Bukkit/eclipse/org/bukkit/entity/Animals,True,True,True,True,True,True,True,True,True
Bukkit/eclipse/org/bukkit/entity/Arrow,True,True,True,True,True,True,True,True,True
